fname,n,m,comments
g002095.zip,8,19,"NAME: dw21 || COMMENT: From Graph Theory by Douglas West, 5 regular graph, page 16, exercise 1.1.16"
g002129.zip,12,24,NAME: chvatal_12 || COMMENT: # http://www.dharwadker.org/vertex_coloring/ # chvatal on 12 vertices # chromatic number 4
g002186.zip,5,6,"NAME: dw15 || COMMENT: From Graph Theory by Douglas West, Pg12, bow tie"
g002189.zip,9,36,NAME: Simplex random graph using rudy library in python. Weights computed via the constant distribution. || COMMENT: Graph parameters: dim=8; seed=-1; sum=1 Weight distribution parameters: alpha=10.0; seed=1729. || TYPE: Random Graphs
g002206.zip,6,9,"NAME: kuratowski || COMMENT: # http://www.dharwadker.org/vertex_coloring/ # kuratowski bipartite graph K3,3 # chromatic number 2 # maximum independent set 3"
g002218.zip,10,15,"NAME: b10_peterson || COMMENT: http://www.dharwadker.org/tevet/isomorphism/main.html, isomorphic peterson B"
g002248.zip,18,21,"NAME: es10fst13. || COMMENT: 33d32945 STP File, STP Format Version 1.00, Section Comment, Name    ""es10fst13"", Creator ""Martin Zachariasen, David Warme"", Remark  ""Reduced rectilinear graph from FST generator GeoSteiner"", End"
g002262.zip,17,68,"NAME: ramsey_4_4 || COMMENT: # http://www.dharwadker.org/vertex_coloring/ # ramsey graph R(4,4)# chromatic number 6 # maximum independent set 3"
g002338.zip,20,40,NAME: folkman || COMMENT: # http://www.dharwadker.org/independent_set/ # folkman graph # maximum independent set 10
g002347.zip,13,39,"NAME: p40 || COMMENT: # graphs from a website, used for isomorphism testing. # http://funkybee.narod.ru/graphs.htm"
g002354.zip,6,8,"NAME: dw7 || COMMENT: From Graph Theory by Douglas West, Pg 10, Cubic graph"
g002397.zip,8,22,"NAME: p76 || COMMENT: # graphs from a website, used for isomorphism testing. # http://funkybee.narod.ru/graphs.htm"
g002424.zip,20,50,"NAME: p12 || COMMENT: # graphs from a website, used for isomorphism testing. # http://funkybee.narod.ru/graphs.htm"
g002428.zip,12,30,"NAME: b12_icosahedron || COMMENT: http://www.dharwadker.org/tevet/isomorphism/main.html, isomorphic icosahedron B"
g002442.zip,5,6,"NAME: dw16 || COMMENT: From Graph Theory by Douglas West, Pg12, dart"
g002497.zip,12,11,"NAME: es10fst05. || COMMENT: 33d32945 STP File, STP Format Version 1.00, Section Comment, Name    ""es10fst05"", Creator ""Martin Zachariasen, David Warme"", Remark  ""Reduced rectilinear graph from FST generator GeoSteiner"", End"
g002511.zip,6,10,"NAME: dw20 || COMMENT: From Graph Theory by Douglas West, page 15, exercise 1.1.11"
g002521.zip,20,30,"NAME: p8 || COMMENT: # graphs from a website, used for isomorphism testing. # http://funkybee.narod.ru/graphs.htm"
g002609.zip,12,30,"NAME: a12_icosahedron || COMMENT: http://www.dharwadker.org/tevet/isomorphism/main.html, isomorphic icosahedron A"
g002635.zip,18,20,"NAME: es10fst04. || COMMENT: 33d32945 STP File, STP Format Version 1.00, Section Comment, Name    ""es10fst04"", Creator ""Martin Zachariasen, David Warme"", Remark  ""Reduced rectilinear graph from FST generator GeoSteiner"", End"
g002651.zip,14,13,"NAME: es10fst02. || COMMENT: 33d32945 STP File, STP Format Version 1.00, Section Comment, Name    ""es10fst02"", Creator ""Martin Zachariasen, David Warme"", Remark  ""Reduced rectilinear graph from FST generator GeoSteiner"", End"
g002663.zip,9,18,NAME: i190.txt || COMMENT: \f0\fs26 \cf0 #http://www.maths.gla.ac.uk/~es/srgraphs.html\
g002667.zip,14,13,"NAME: es10fst11. || COMMENT: 33d32945 STP File, STP Format Version 1.00, Section Comment, Name    ""es10fst11"", Creator ""Martin Zachariasen, David Warme"", Remark  ""Reduced rectilinear graph from FST generator GeoSteiner"", End"
g002672.zip,20,30,"NAME: a20_dodecahedron || COMMENT: http://www.dharwadker.org/tevet/isomorphism/main.html, isomorphic dodecahedron A"
g002737.zip,8,21,"NAME: b8_turan || COMMENT: http://www.dharwadker.org/tevet/isomorphism/main.html, isomorphic example 3.6 B Turan graphs"
g002760.zip,12,30,NAME: icosahedron || COMMENT: # http://www.dharwadker.org/vertex_coloring/ # icosahedron # chromatic number 4 # maximum independent set 3
g002766.zip,8,12,"NAME: dw2 || COMMENT: From Graph Theory by Douglas West, Page 3, 2-D cube"
g002909.zip,11,18,NAME: herschel || COMMENT: # http://www.dharwadker.org/independent_set/ # herschel graph # maximum independent set 6
g002942.zip,14,63,"NAME: p49 || COMMENT: # graphs from a website, used for isomorphism testing. # http://funkybee.narod.ru/graphs.htm"
g003183.zip,17,20,"NAME: es10fst03. || COMMENT: 33d32945 STP File, STP Format Version 1.00, Section Comment, Name    ""es10fst03"", Creator ""Martin Zachariasen, David Warme"", Remark  ""Reduced rectilinear graph from FST generator GeoSteiner"", End"
g003184.zip,17,68,"NAME: b17_ramsey || COMMENT: http://www.dharwadker.org/tevet/isomorphism/main.html, isomorphic Ramsey B"
g003199.zip,20,187,"NAME: pr_1b.txt || COMMENT: Processed from file bqpgka.txt from https://files.nyu.edu/jeb21/public/jeb/orlib/bqpinfo.html; Pardalos and Rogers (1989) file 1b, labeled as ""Gulati experiments"""
